participant,choice
1,Biology
2,Biology
3,Maths
4,Chemistry
5,Chemistry
6,Chemistry
7,Biology
8,Biology
9,Biology
10,Biology
11,Biology
12,Biology
13,Chemistry
14,Biology
15,Biology
16,Biology
17,Biology
18,Biology
19,Biology
20,Maths
21,Chemistry
22,Biology
23,Biology
24,Biology
25,Biology
26,Chemistry
27,Chemistry
28,Biology
29,Biology
30,Biology
31,Maths
32,Biology
33,Biology
34,Biology
35,Biology
36,Biology
37,Biology
38,Biology
39,Biology
40,Maths
41,Maths
42,Chemistry
43,Biology
44,Chemistry
45,Maths
46,Maths
47,Maths
48,Biology
49,Biology
50,Biology
