id,event,guess
1,SSS,200
2,SSS,90
3,SSS,20
4,SSS,60
5,SSS,250
6,SSS,190
7,SSS,100
8,SSS,150
9,SSS,175
10,SSS,100
11,SSS,136
12,SSS,275
13,SSS,1182
14,SSS,95
15,SSS,50
16,SSS,140
17,SSS,100
18,SSS,90
19,SSS,150
20,SSS,200
21,SSS,130
22,SSS,107
23,SSS,115
24,SSS,82
25,SSS,131
26,SSS,95
27,SSS,300
28,NSF,108
29,NSF,123
30,NSF,110
31,NSF,120
32,NSF,70
33,NSF,30
34,NSF,130
35,NSF,100
36,NSF,30
37,NSF,7
38,NSF,65
39,NSF,80
40,NSF,110
41,NSF,100
42,NSF,100
43,NSF,120
44,NSF,106
45,NSF,120
46,NSF,150
47,NSF,150
48,NSF,150
49,NSF,150
50,NSF,150
51,NSF,150
52,NSF,150
53,NSF,142
54,NSF,156
55,NSF,151
56,NSF,650
57,NSF,280
58,NSF,170
59,NSF,199
60,NSF,500
61,NSF,200
62,NSF,727
63,NSF,200
64,NSF,1000
65,NSF,190
66,NSF,180
67,NSF,165
68,NSF,204
69,NSF,216
70,NSF,255
71,NSF,307
72,NSF,289
73,NSF,1010
74,NSF,1000
75,NSF,1000
