time,subject,vote,,,
8:00,Biology,10,,,
8:00,Chemistry,3,,,
8:00,Maths,1,,,
9:00,Biology,22,,,
9:00,Chemistry,7,,,
9:00,Maths,7,,,
9:30,Biology,1,,,
9:30,Chemistry,2,,,
9:30,Maths,3,,,
10:00,Biology,1,,,
10:00,Chemistry,5,,,
10:00,Maths,2,,,
10:30,Biology,1,,,
10:30,Chemistry,1,,,
10:30,Maths,1,,,
11:00,Biology,8,,,
11:00,Chemistry,3,,,
11:00,Maths,9,,,
11:30,Biology,8,,,
11:30,Chemistry,3,,,
11:30,Maths,9,,,
12:00,Biology,8,,,
12:00,Chemistry,2,,,
12:00,Maths,6,,,
13:00,Biology,2,,,
13:00,Chemistry,4,,,
13:00,Maths,2,,,
13:30,Biology,4,,,
13:30,Chemistry,3,,,
13:30,Maths,6,,,
14:00,Biology,5,,,
14:00,Chemistry,3,,,
14:00,Maths,5,,,
14:30,Biology,4,,,
14:30,Chemistry,3,,,
14:30,Maths,2,,,
15:00,Biology,1,,,
15:00,Chemistry,2,,,
15:00,Maths,1,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
